n_cell_types,n_genes,n_cells,exp_num,method,time
3,20000,1000,exp_08,LR,1206.0190000000002
3,20000,1000,exp_08,bimod,1335.436999999999
3,20000,1000,exp_08,ROC,1807.5959999999995
3,20000,1000,exp_09,Cepo,0.5509999999994761
3,20000,1000,exp_09,Cepo1000,717.1199999999999
3,20000,1000,exp_09,Voom,53.26299999999992
3,20000,1000,exp_09,MAST,1274.2279999999992
3,20000,1000,exp_09,DD,60.45099999999911
3,20000,1000,exp_09,Limma,7.5600000000004
3,20000,1000,exp_09,Wilcox,401.21799999999985
3,20000,1000,exp_09,Ttest,20.136999999999716
3,20000,1000,exp_09,M3Drop,73.97599999999966
3,20000,1000,exp_09,edgeR,853.0380000000005
3,20000,1000,exp_09,LR,1145.603
3,20000,1000,exp_09,bimod,870.5139999999992
3,20000,1000,exp_09,ROC,1734.17
3,20000,1000,exp_10,Cepo,0.5119999999997162
3,20000,1000,exp_10,Cepo1000,576.4360000000006
3,20000,1000,exp_10,Voom,47.184000000000196
3,20000,1000,exp_10,MAST,1194.1350000000002
3,20000,1000,exp_10,DD,55.332000000000335
3,20000,1000,exp_10,Limma,7.157999999999447
3,20000,1000,exp_10,Wilcox,389.3919999999998
3,20000,1000,exp_10,Ttest,16.971999999999753
3,20000,1000,exp_10,M3Drop,67.47999999999956
3,20000,1000,exp_10,edgeR,838.1010000000006
3,20000,1000,exp_10,LR,1261.8869999999997
3,20000,1000,exp_10,bimod,1123.9680000000008
3,20000,1000,exp_10,ROC,1859.527
3,20000,5000,exp_01,Cepo,5.077000000001135
3,20000,5000,exp_01,Cepo1000,5455.272000000001
3,20000,5000,exp_01,Voom,215.6939999999995
3,20000,5000,exp_01,MAST,2802.5539999999964
3,20000,5000,exp_01,DD,131.6400000000067
3,20000,5000,exp_01,Limma,34.29200000000128
3,20000,5000,exp_01,Wilcox,1793.7300000000032
3,20000,5000,exp_01,Ttest,43.64600000000064
3,20000,5000,exp_01,M3Drop,230.31199999999808
3,20000,5000,exp_01,edgeR,4319.133999999998
3,20000,5000,exp_01,LR,4433.024000000001
3,20000,5000,exp_01,bimod,3728.59
3,20000,5000,exp_01,ROC,7606.363999999998
3,20000,5000,exp_02,Cepo,5.388999999999214
3,20000,5000,exp_02,Cepo1000,5387.336000000001
3,20000,5000,exp_02,Voom,208.76000000000204
3,20000,5000,exp_02,MAST,2830.4680000000008
3,20000,5000,exp_02,DD,144.0350000000035
3,20000,5000,exp_02,Limma,33.87800000000061
3,20000,5000,exp_02,Wilcox,1808.8529999999992
3,20000,5000,exp_02,Ttest,42.43899999999849
3,20000,5000,exp_02,M3Drop,224.47999999999956
3,20000,5000,exp_02,edgeR,4362.546000000002
3,20000,5000,exp_02,LR,3791.7690000000002
3,20000,5000,exp_02,bimod,4552.738000000001
3,20000,5000,exp_02,ROC,6753.508999999998
3,20000,5000,exp_03,Cepo,5.583000000000538
3,20000,5000,exp_03,Cepo1000,5517.092999999999
